date,open,high,low,close,adj_close,volume
2015-05-21 00:00:00-04:00,2.799999952,2.874000072,2.411000013,2.568000078,2.568000078,123039000
2015-05-22 00:00:00-04:00,2.607000113,3.109999895,2.599999905,2.83100009,2.83100009,28412000
2015-05-26 00:00:00-04:00,2.980000019,3.03399992,2.907999992,2.964999914,2.964999914,8202000
2015-05-27 00:00:00-04:00,3.066999912,3.08100009,2.700000048,2.75,2.75,7976000
2015-05-28 00:00:00-04:00,2.755000114,2.773999929,2.648000002,2.744999886,2.744999886,4000000
2015-05-29 00:00:00-04:00,2.724999905,2.737999916,2.687000036,2.720000029,2.720000029,2554000
2015-06-01 00:00:00-04:00,2.720000029,2.743999958,2.660000086,2.73300004,2.73300004,2569000
2015-06-02 00:00:00-04:00,2.746999979,2.746999979,2.664999962,2.694999933,2.694999933,3798000
2015-06-03 00:00:00-04:00,2.676000118,2.75,2.650000095,2.743999958,2.743999958,3024000
2015-06-04 00:00:00-04:00,2.742000103,2.749000072,2.551000118,2.677999973,2.677999973,3226000
2015-06-05 00:00:00-04:00,2.665999889,2.739000082,2.609999895,2.739000082,2.739000082,1294000
2015-06-08 00:00:00-04:00,2.690000057,2.747999907,2.681999922,2.697999954,2.697999954,2809000
2015-06-09 00:00:00-04:00,2.664000034,2.845999956,2.664000034,2.834000111,2.834000111,3375000
2015-06-10 00:00:00-04:00,2.845000029,2.888000011,2.795000076,2.809999943,2.809999943,2734000
2015-06-11 00:00:00-04:00,2.848999977,3.072999954,2.848999977,3.072999954,3.072999954,4606000
2015-06-12 00:00:00-04:00,3.131999969,3.369999886,3.125,3.362999916,3.362999916,8474000
2015-06-15 00:00:00-04:00,3.397000074,3.812000036,3.292000055,3.549999952,3.549999952,16943000
2015-06-16 00:00:00-04:00,3.605999947,3.837899923,3.584000111,3.811000109,3.811000109,11095000
2015-06-17 00:00:00-04:00,3.963000059,4.212999821,3.801000118,3.862999916,3.862999916,15952000
2015-06-18 00:00:00-04:00,3.842000008,3.888999939,3.432600021,3.555000067,3.555000067,11482000
2015-06-19 00:00:00-04:00,3.632999897,3.674000025,3.255000114,3.552000046,3.552000046,9797000
2015-06-22 00:00:00-04:00,3.676000118,3.849999905,3.608999968,3.694000006,3.694000006,7922000
2015-06-23 00:00:00-04:00,3.775000095,3.809999943,3.51699996,3.542999983,3.542999983,2939000
2015-06-24 00:00:00-04:00,3.512000084,3.742899895,3.414000034,3.595999956,3.595999956,5644000
2015-06-25 00:00:00-04:00,3.634000063,3.650000095,3.480000019,3.483999968,3.483999968,2082000
2015-06-26 00:00:00-04:00,3.486999989,3.532000065,3.263000011,3.351999998,3.351999998,3465000
2015-06-29 00:00:00-04:00,3.252000093,3.351000071,3.119999886,3.131999969,3.131999969,3155000
2015-06-30 00:00:00-04:00,3.150000095,3.444000006,3.150000095,3.394999981,3.394999981,4733000
2015-07-01 00:00:00-04:00,3.403000116,3.496999979,2.987999916,3.111000061,3.111000061,10126000
2015-07-02 00:00:00-04:00,3.151000023,3.173000097,3.062000036,3.131000042,3.131000042,3032000
2015-07-06 00:00:00-04:00,3.107000113,3.174000025,3.038000107,3.052999973,3.052999973,1493000
2015-07-07 00:00:00-04:00,3.046999931,3.082999945,2.849999905,3.075999975,3.075999975,3489000
2015-07-08 00:00:00-04:00,3.002000093,3.036000013,2.903000116,2.91899991,2.91899991,1869000
2015-07-09 00:00:00-04:00,2.97300005,3.038000107,2.880000114,2.905999899,2.905999899,2491000
2015-07-10 00:00:00-04:00,2.931999922,3.029000044,2.910000086,2.960000038,2.960000038,2805000
2015-07-13 00:00:00-04:00,2.984999895,3.098999977,2.976000071,3.042000055,3.042000055,2201000
2015-07-14 00:00:00-04:00,3.078000069,3.132699966,3.049999952,3.085999966,3.085999966,1455000
2015-07-15 00:00:00-04:00,3.088999987,3.101000071,2.891000032,2.934000015,2.934000015,3570000
2015-07-16 00:00:00-04:00,2.905999899,2.986999989,2.893100023,2.938999891,2.938999891,1482000
2015-07-17 00:00:00-04:00,2.931999922,3.234999895,2.914999962,3.226999998,3.226999998,16198000
2015-07-20 00:00:00-04:00,3.236999989,3.392999887,3.164099932,3.375,3.375,4140000
2015-07-21 00:00:00-04:00,3.394999981,3.46600008,3.209000111,3.322000027,3.322000027,4148000
2015-07-22 00:00:00-04:00,3.299000025,3.348999977,3.135999918,3.213999987,3.213999987,2556000
2015-07-23 00:00:00-04:00,3.259000063,3.443000078,3.257999897,3.311000109,3.311000109,2655000
2015-07-24 00:00:00-04:00,3.345000029,3.474999905,3.323999882,3.357000113,3.357000113,3577000
2015-07-27 00:00:00-04:00,3.339999914,3.394999981,3.204999924,3.286999941,3.286999941,2005000
2015-07-28 00:00:00-04:00,3.349999905,3.447999954,3.282999992,3.405999899,3.405999899,1746000
2015-07-29 00:00:00-04:00,3.410000086,3.484999895,3.319999933,3.415999889,3.415999889,2008000
2015-07-30 00:00:00-04:00,3.865499973,4.025000095,3.700999975,3.812999964,3.812999964,11622000
2015-07-31 00:00:00-04:00,3.812999964,3.825000048,3.63499999,3.739000082,3.739000082,5258000
2015-08-03 00:00:00-04:00,3.749000072,4.048999786,3.660000086,4.035999775,4.035999775,5351000
2015-08-04 00:00:00-04:00,4.011000156,4.111000061,3.812999964,3.84100008,3.84100008,5725000
2015-08-05 00:00:00-04:00,3.90199995,3.996999979,3.815999985,3.845000029,3.845000029,2911000
2015-08-06 00:00:00-04:00,3.839999914,3.875,3.519999981,3.628000021,3.628000021,3827000
2015-08-07 00:00:00-04:00,3.627000093,3.627000093,3.424999952,3.516000032,3.516000032,3215000
2015-08-10 00:00:00-04:00,3.529999971,3.614000082,3.286999941,3.346999884,3.346999884,4799000
2015-08-11 00:00:00-04:00,3.365999937,3.559000015,3.29640007,3.513999939,3.513999939,2693000
2015-08-12 00:00:00-04:00,3.484999895,3.520999908,3.375,3.47300005,3.47300005,2369000
2015-08-13 00:00:00-04:00,3.479000092,3.648999929,3.450999975,3.530999899,3.530999899,2259000
2015-08-14 00:00:00-04:00,3.5,3.575000048,3.40899992,3.45600009,3.45600009,1437000
2015-08-17 00:00:00-04:00,3.476999998,3.5,3.329999924,3.440999985,3.440999985,1623000
2015-08-18 00:00:00-04:00,3.417999983,3.417999983,3.247999907,3.25999999,3.25999999,1870000
2015-08-19 00:00:00-04:00,3.236999989,3.246999979,3.059999943,3.109999895,3.109999895,4447000
2015-08-20 00:00:00-04:00,3.075999975,3.109999895,2.914999962,2.921999931,2.921999931,2696000
2015-08-21 00:00:00-04:00,2.875,2.996999979,2.730999947,2.77699995,2.77699995,4042000
2015-08-24 00:00:00-04:00,2.551000118,2.848999977,2.269999981,2.628000021,2.628000021,4271000
2015-08-25 00:00:00-04:00,2.828999996,2.977999926,2.684999943,2.693000078,2.693000078,3043000
2015-08-26 00:00:00-04:00,2.849999905,2.857000113,2.630000114,2.822000027,2.822000027,3901000
2015-08-27 00:00:00-04:00,2.894000053,2.960000038,2.779999971,2.851000071,2.851000071,2682000
2015-08-28 00:00:00-04:00,2.835999966,2.90079999,2.772000074,2.799999952,2.799999952,1370000
2015-08-31 00:00:00-04:00,2.813999891,2.877000093,2.709000111,2.753999949,2.753999949,1305000
2015-09-01 00:00:00-04:00,2.729000092,2.729000092,2.638999939,2.660000086,2.660000086,1301000
2015-09-02 00:00:00-04:00,2.673000097,2.754899979,2.605999947,2.670000076,2.670000076,1670000
2015-09-03 00:00:00-04:00,2.655999899,2.799999952,2.651000023,2.714999914,2.714999914,1325000
2015-09-04 00:00:00-04:00,2.697999954,2.72300005,2.637000084,2.680999994,2.680999994,1291000
2015-09-08 00:00:00-04:00,2.703000069,2.764499903,2.674499989,2.713999987,2.713999987,1074000
2015-09-09 00:00:00-04:00,2.789999962,2.851000071,2.588999987,2.601000071,2.601000071,3204000
2015-09-10 00:00:00-04:00,2.605000019,2.647399902,2.558000088,2.576999903,2.576999903,1391000
2015-09-11 00:00:00-04:00,2.555000067,2.647000074,2.555000067,2.635999918,2.635999918,1874000
2015-09-14 00:00:00-04:00,2.627000093,2.726000071,2.601000071,2.720999956,2.720999956,2209000
2015-09-15 00:00:00-04:00,2.713999987,2.845999956,2.710000038,2.811000109,2.811000109,2511000
2015-09-16 00:00:00-04:00,2.812999964,2.926000118,2.803999901,2.891000032,2.891000032,1331000
2015-09-17 00:00:00-04:00,2.989000082,3.795000076,2.984999895,3.555000067,3.555000067,21123000
2015-09-18 00:00:00-04:00,3.57249999,3.746999979,3.451999903,3.565999985,3.565999985,7867000
2015-09-21 00:00:00-04:00,3.569999933,3.700000048,3.474999905,3.48300004,3.48300004,3935000
2015-09-22 00:00:00-04:00,3.450000048,3.450000048,3.280999899,3.365999937,3.365999937,3327000
2015-09-23 00:00:00-04:00,3.352999926,3.467000008,3.282999992,3.349999905,3.349999905,3400000
2015-09-24 00:00:00-04:00,3.298000097,3.40899992,3.209000111,3.346999884,3.346999884,2446000
2015-09-25 00:00:00-04:00,3.38499999,3.563999891,3.312000036,3.391000032,3.391000032,3552000
2015-09-28 00:00:00-04:00,3.364000082,3.396699905,3.25,3.305000067,3.305000067,2049000
2015-09-29 00:00:00-04:00,3.240999937,3.398499966,3.240999937,3.364000082,3.364000082,2213000
2015-09-30 00:00:00-04:00,3.569000006,3.576499939,3.365999937,3.519999981,3.519999981,2999000
2015-10-01 00:00:00-04:00,3.536999941,3.575000048,3.372999907,3.506999969,3.506999969,2480000
2015-10-02 00:00:00-04:00,3.464999914,3.609999895,3.41899991,3.58100009,3.58100009,2366000
2015-10-05 00:00:00-04:00,3.605000019,3.928999901,3.605000019,3.676000118,3.676000118,6644000
